#           x             T        mag(U)             p
       -4.995       348.432    7.5037e-12        100000
       -4.985       348.432   6.53657e-12        100000
       -4.975       348.432   6.02309e-12        100000
       -4.965       348.432   7.05004e-12        100000
       -4.955       348.432   6.12083e-12        100000
       -4.945       348.432   7.55914e-12        100000
       -4.935       348.432   7.12298e-12        100000
       -4.925       348.432   8.46355e-12        100000
       -4.915       348.432   6.08144e-12        100000
       -4.905       348.432   7.90777e-12        100000
       -4.895       348.432   4.89258e-12        100000
       -4.885       348.432   5.77073e-12        100000
       -4.875       348.432   4.16759e-12        100000
       -4.865       348.432   5.70655e-12        100000
       -4.855       348.432   4.73212e-12        100000
       -4.845       348.432   5.23392e-12        100000
       -4.835       348.432   3.73872e-12        100000
       -4.825       348.432   4.17926e-12        100000
       -4.815       348.432   3.17128e-12        100000
       -4.805       348.432   5.34041e-12        100000
       -4.795       348.432   4.63876e-12        100000
       -4.785       348.432   4.54248e-12        100000
       -4.775       348.432   5.67883e-12        100000
       -4.765       348.432    4.6621e-12        100000
       -4.755       348.432   5.44398e-12        100000
       -4.745       348.432   6.76267e-12        100000
       -4.735       348.432   6.55845e-12        100000
       -4.725       348.432   5.84951e-12        100000
       -4.715       348.432   5.91807e-12        100000
       -4.705       348.432   5.29227e-12        100000
       -4.695       348.432   6.12812e-12        100000
       -4.685       348.432   4.59062e-12        100000
       -4.675       348.432   5.02824e-12        100000
       -4.665       348.432   4.59937e-12        100000
       -4.655       348.432   6.63722e-12        100000
       -4.645       348.432   5.35354e-12        100000
       -4.635       348.432   6.19814e-12        100000
       -4.625       348.432   5.73281e-12        100000
       -4.615       348.432     6.751e-12        100000
       -4.605       348.432   4.17634e-12        100000
       -4.595       348.432   4.50893e-12        100000
       -4.585       348.432   4.84444e-12        100000
       -4.575       348.432   5.31853e-12        100000
       -4.565       348.432    3.2165e-12        100000
       -4.555       348.432   3.20191e-12        100000
       -4.545       348.432   1.40767e-12        100000
       -4.535       348.432   1.59877e-12        100000
       -4.525       348.432   9.33587e-14        100000
       -4.515       348.432    7.6875e-13        100000
       -4.505       348.432   1.29243e-12        100000
       -4.495       348.432   1.19908e-12        100000
       -4.485       348.432   3.36967e-13        100000
       -4.475       348.432   4.17197e-13        100000
       -4.465       348.432   1.75485e-12        100000
       -4.455       348.432   4.30325e-13        100000
       -4.445       348.432   1.82779e-12        100000
       -4.435       348.432   1.80445e-12        100000
       -4.425       348.432   1.74026e-12        100000
       -4.415       348.432   4.57895e-12        100000
       -4.405       348.432   2.62571e-12        100000
       -4.395       348.432   5.44398e-12        100000
       -4.385       348.432   4.17051e-12        100000
       -4.375       348.432   4.56145e-12        100000
       -4.365       348.432   2.77742e-12        100000
       -4.355       348.432   4.27408e-12        100000
       -4.345       348.432    2.9656e-12        100000
       -4.335       348.432   4.28137e-12        100000
       -4.325       348.432   2.89558e-12        100000
       -4.315       348.432    4.4039e-12        100000
       -4.305       348.432   4.27116e-12        100000
       -4.295       348.432   5.21204e-12        100000
       -4.285       348.432   4.14425e-12        100000
       -4.275       348.432   4.63293e-12        100000
       -4.265       348.432   4.86049e-12        100000
       -4.255       348.432   4.16467e-12        100000
       -4.245       348.432   3.14502e-12        100000
       -4.235       348.432   3.51408e-12        100000
       -4.225       348.432   2.81097e-12        100000
       -4.215       348.432   2.39086e-12        100000
       -4.205       348.432   2.30625e-12        100000
       -4.195       348.432   1.68192e-12        100000
       -4.185       348.432   2.27999e-12        100000
       -4.175       348.432   2.10349e-12        100000
       -4.165       348.432   3.86126e-12        100000
       -4.155       348.432   1.32307e-12        100000
       -4.145       348.432   3.55492e-12        100000
       -4.135       348.432   1.76215e-12        100000
       -4.125       348.432   3.62057e-12        100000
       -4.115       348.432   1.52583e-12        100000
       -4.105       348.432   3.99692e-12        100000
       -4.095       348.432   2.52944e-12        100000
       -4.085       348.432   4.81818e-12        100000
       -4.075       348.432   2.94518e-12        100000
       -4.065       348.432   5.50962e-12        100000
       -4.055       348.432   5.24997e-12        100000
       -4.045       348.432   6.11499e-12        100000
       -4.035       348.432   5.04429e-12        100000
       -4.025       348.432    6.1996e-12        100000
       -4.015       348.432   4.17926e-12        100000
       -4.005       348.432     6.274e-12        100000
       -3.995       348.432   4.83715e-12        100000
       -3.985       348.432   4.96406e-12        100000
       -3.975       348.432   4.61542e-12        100000
       -3.965       348.432   4.59354e-12        100000
       -3.955       348.432   4.73795e-12        100000
       -3.945       348.432   4.60521e-12        100000
       -3.935       348.432   4.36598e-12        100000
       -3.925       348.432   5.27768e-12        100000
       -3.915       348.432   5.06617e-12        100000
       -3.905       348.432   5.54025e-12        100000
       -3.895       348.432   3.98525e-12        100000
       -3.885       348.432   5.24413e-12        100000
       -3.875       348.432   3.33611e-12        100000
       -3.865       348.432    2.2056e-12        100000
       -3.855       348.432   2.48859e-12        100000
       -3.845       348.432     2.916e-12        100000
       -3.835       348.432   2.48276e-12        100000
       -3.825       348.432   3.05312e-12        100000
       -3.815       348.432   3.98087e-12        100000
       -3.805       348.432   4.81235e-12        100000
       -3.795       348.432   5.41772e-12        100000
       -3.785       348.432   5.75615e-12        100000
       -3.775       348.432   4.99615e-12        100000
       -3.765       348.432   4.22448e-12        100000
       -3.755       348.432   4.42287e-12        100000
       -3.745       348.432   4.24344e-12        100000
       -3.735       348.432   4.44621e-12        100000
       -3.725       348.432   5.75469e-12        100000
       -3.715       348.432   5.57964e-12        100000
       -3.705       348.432   5.43523e-12        100000
       -3.695       348.432   4.30617e-12        100000
